LEXICON,POS,RIGHT,LEFT,HAND_DIFF,MOV_ID,HAND,PLACE
ADALET_1,Ad ,1.3943154207406439,2.0624493028945547,-0.6681338821539109,2,28,1
"İZLEMEK, SEYRETMEK_1",Eylem ,1.1166137483717904,1.7770565119770345,-0.6604427636052441,2,20,1
ENDIŞELI_0,Sıfat ,1.126096325649776,1.78067352789997,-0.6545772022501939,2,19,1
KOPYA _1,,0.3788477610749982,1.031660139840218,-0.6528123787652199,3,19,25
YIKILMAK_0,Eylem ,0.3610501116793,1.0116962184002025,-0.6506461067209025,3,19,1
MIMAR_0,Ad ,1.2011302245372018,1.8479090915174297,-0.6467788669802279,2,22,20
ÇEKILMEK_1,Eylem ,0.6729119757023301,1.3095113736831303,-0.6365993979808002,2,28,1
YAZIŞMAK_0,Eylem ,0.7432441754188859,1.3759524480043597,-0.6327082725854738,1,7,24
ALAKA_0,Ad ,0.6687759624589642,1.2885098535990653,-0.6197338911401011,1,22,1
KOPYA _2,,0.5811324406275207,1.2003192332937511,-0.6191867926662304,2,5,25
EMNIYET _0,Ad ,0.7591956622169558,1.3681569957077304,-0.6089613334907746,1,18,1
AYRI_0,Sıfat ,0.648334887762678,1.2557548899118705,-0.6074200021491925,2,29,1
YARIŞMAK_1,Eylem ,0.8145406661804748,1.4203851558001697,-0.6058444896196948,2,26,1
EZMEK_0,Eylem ,0.5902826588892239,1.1919486531993373,-0.6016659943101134,1,28,26
SAHIL_0,Ad ,0.5538857488784791,1.1532080926340986,-0.5993223437556195,1,28,20
KOCA_0,Ad ,1.0809150517769177,1.6745723006109305,-0.5936572488340128,1,26,23
EŞ_0,Ad ,0.47498250486610616,1.0540060486703775,-0.5790235438042713,1,26,23
UĞRAŞMAK_1,Eylem ,1.2073834144090252,1.782646197192187,-0.5752627827831618,2,29,1
DEĞIŞTIRMEK_0,Eylem ,1.2804672898539282,1.8556863179619152,-0.575219028107987,1,11,1
KOPMAK_0,Eylem ,0.760207312712194,1.3331179148735823,-0.5729106021613883,1,11,1
ÇEVRE_0,Ad ,0.6597742786275922,1.2321306981331954,-0.5723564195056032,1,20,1
MERKEZ_2,Ad ,0.4753524575874576,1.045110885618081,-0.5697584280306235,1,25,1
TÜFEK_0,Ad ,0.8340424944383178,1.4031676135682956,-0.5691251191299778,1,32,2
BINMEK_0,Eylem ,0.6893321442285523,1.2535617788499698,-0.5642296346214175,1,15,23
KÜREK_0,Ad ,0.8199691390083421,1.3791515159994323,-0.5591823769910902,1,11,1
ÇIKARMAK _1,Eylem ,0.8703237361819006,1.428627775710611,-0.5583040395287103,2,28,24
KOVMAK_1,Eylem ,0.6492443614961984,1.2049969612233076,-0.5557525997271092,1,28,21
SALI _0,Ad ,0.3460985105178084,0.8823451109721319,-0.5362466004543235,1,13,23
DÜNYA_1,Ad ,0.7773727163752869,1.3016441206567178,-0.5242714042814308,1,30,1
DÖKMEK_1,Eylem ,0.6656959474350841,1.1899604642823614,-0.5242645168472773,3,28,1
TAMAM_0,,0.36943693678421835,0.8930992330076917,-0.5236622962234734,2,22,1
EVLENMEK_0,Eylem ,0.6278980473394478,1.1457694010587771,-0.5178713537193294,1,26,1
SIRALAMAK_0,Eylem ,0.7104295536790537,1.2264503369300648,-0.5160207832510111,1,18,1
ADRES _0,Ad ,0.6255722673654451,1.1385546207066946,-0.5129823533412494,2,28,1
OYUN OYNAMAK_0,Eylem ,1.5296995538299887,2.0419023745020013,-0.5122028206720126,1,14,1
KAPANMAK_1,Eylem ,1.7733547361599984,2.2815428361603107,-0.5081881000003123,1,27,1
LAF_0,Ad ,0.8777415530576322,1.3835620020919681,-0.5058204490343359,3,17,9
SOFRA_0,Ad ,1.2197164974451868,1.7242090242110146,-0.5044925267658278,2,20,1
BAKMAK_2,Eylem ,0.6366195393062073,1.137207537265568,-0.5005879979593606,2,29,2
SORUN_1,Ad ,0.621569604553567,1.1156850260194702,-0.49411542146590315,1,22,11
ÇARPIM_0,Ad ,0.6902722427560928,1.1801425809455028,-0.48987033818941006,1,17,23
SAHTE _2,Sıfat ,0.4553150156571786,0.9400012744755093,-0.4846862588183307,1,18,5
NESIL_0,,0.7178185139609992,1.1960146206416211,-0.47819610668062196,1,17,1
